,,,,,,,
,,,,,,,
,Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t),Lufttemperatur,Høyeste middelvind (1 t),Vindretning
,Kjevik,SN39040,25.09.2022 08:00,0,7.7,1.8,69
,Kjevik,SN39040,25.09.2022 09:00,0,9.7,1.8,59
,Kjevik,SN39040,25.09.2022 10:00,0,12.4,1.1,226
,Kjevik,SN39040,25.09.2022 11:00,0,14.1,2.6,193
,Kjevik,SN39040,25.09.2022 12:00,0,14.4,4.9,193
,Kjevik,SN39040,25.09.2022 13:00,0,14.4,5.5,200
,Kjevik,SN39040,25.09.2022 14:00,0,13.4,5.4,195
,Kjevik,SN39040,25.09.2022 15:00,0,13.6,4.9,208
,Kjevik,SN39040,25.09.2022 16:00,0,13,5.7,259
,Kjevik,SN39040,25.09.2022 17:00,0,12,5.7,242
,Kjevik,SN39040,25.09.2022 18:00,0,11.5,4.4,242
,Kjevik,SN39040,25.09.2022 19:00,0,11,3.8,245
,Kjevik,SN39040,25.09.2022 20:00,0.2,9.9,3,240
,Kjevik,SN39040,25.09.2022 21:00,1.2,9.5,2.8,221
,Kjevik,SN39040,25.09.2022 22:00,1.5,9.6,3.9,193
,Kjevik,SN39040,25.09.2022 23:00,1.7,10.5,6.7,223
,Kjevik,SN39040,26.09.2022 00:00,1.2,10.3,7.7,173
,Kjevik,SN39040,26.09.2022 01:00,2.1,9.8,6.2,235
,Kjevik,SN39040,26.09.2022 02:00,1.3,9.3,2.9,204
,Kjevik,SN39040,26.09.2022 03:00,1.8,9.1,2.4,42
,Kjevik,SN39040,26.09.2022 04:00,0.6,10,4,102
,Kjevik,SN39040,26.09.2022 05:00,2.7,11.2,5.3,145
,Kjevik,SN39040,26.09.2022 06:00,2,12.2,8.9,174
,Kjevik,SN39040,26.09.2022 07:00,1.1,12.7,6.9,189
,Kjevik,SN39040,26.09.2022 08:00,2.2,12.7,8.2,179
,"Data er gyldig per 26.09.2022 (CC BY 4.0), Meteorologisk institutt (MET)",,,,,,
